"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Tennessee","47","2019","2019",1593,6829174,23.3,24.0
,"Tennessee","47","2020","2020",2456,6886834,35.7,37.4
,"Tennessee","47","2021","2021",3087,6975218,44.3,46.2
,"Tennessee","47","2022","2022",3111,7051339,44.1,46.1
,"Tennessee","47","2023","2023",2973,7126489,41.7,43.5
,"Tennessee","47","2024 (provisional)","2024",1860,7126489,26.1,27.0
,"Tennessee","47","2025 (provisional and partial)","2025",377,7126489,5.3,5.4
"Total","Tennessee","47",,,16798,55892042,30.1,31.3
,"Texas","48","2018","2018",1457,28701845,5.1,5.0
,"Texas","48","2019","2019",1562,28995881,5.4,5.4
,"Texas","48","2020","2020",2191,29360759,7.5,7.5
,"Texas","48","2021","2021",2845,29527941,9.6,9.6
,"Texas","48","2022","2022",3254,30029572,10.8,10.9
,"Texas","48","2023","2023",3262,30503301,10.7,10.7
,"Texas","48","2024 (provisional)","2024",2496,30503301,8.2,8.2
,"Texas","48","2025 (provisional and partial)","2025",445,30503301,1.5,1.5
"Total","Texas","48",,,17512,238125901,7.4,7.4
,"Utah","49","2018","2018",458,3161105,14.5,15.5
,"Utah","49","2019","2019",415,3205958,12.9,13.9
,"Utah","49","2020","2020",455,3249879,14.0,14.9
,"Utah","49","2021","2021",458,3337975,13.7,14.5
,"Utah","49","2022","2022",445,3380800,13.2,14.1
,"Utah","49","2023","2023",517,3417734,15.1,15.9
,"Utah","49","2024 (provisional)","2024",466,3417734,13.6,14.4
,"Utah","49","2025 (provisional and partial)","2025",107,3417734,3.1,3.3
"Total","Utah","49",,,3321,26588919,12.5,13.3
,"Vermont","50","2018","2018",128,626299,20.4,22.9
,"Vermont","50","2019","2019",117,623989,18.8,21.0
,"Vermont","50","2020","2020",165,623347,26.5,28.9
,"Vermont","50","2021","2021",224,645570,34.7,38.2
,"Vermont","50","2022","2022",247,647064,38.2,42.2
,"Vermont","50","2023","2023",238,647464,36.8,39.2
,"Vermont","50","2024 (provisional)","2024",189,647464,29.2,30.9
,"Vermont","50","2025 (provisional and partial)","2025",16,647464,Unreliable,Unreliable
"Total","Vermont","50",,,1324,5108661,25.9,28.3
,"Virginia","51","2018","2018",1212,8517685,14.2,14.5
,"Virginia","51","2019","2019",1284,8535519,15.0,15.3
,"Virginia","51","2020","2020",1917,8590563,22.3,22.9
,"Virginia","51","2021","2021",2249,8642274,26.0,26.2
,"Virginia","51","2022","2022",2123,8683619,24.4,24.8
,"Virginia","51","2023","2023",2101,8715698,24.1,24.4
,"Virginia","51","2024 (provisional)","2024",1184,8715698,13.6,13.8
,"Virginia","51","2025 (provisional and partial)","2025",159,8715698,1.8,1.8
"Total","Virginia","51",,,12229,69116754,17.7,18.0
,"Washington","53","2018","2018",767,7535591,10.2,9.8
,"Washington","53","2019","2019",853,7614893,11.2,10.8
,"Washington","53","2020","2020",1221,7693612,15.9,15.7
,"Washington","53","2021","2021",1658,7738692,21.4,20.9
,"Washington","53","2022","2022",2137,7785786,27.4,26.8
,"Washington","53","2023","2023",2906,7812880,37.2,35.9
,"Washington","53","2024 (provisional)","2024",2547,7812880,32.6,31.4
,"Washington","53","2025 (provisional and partial)","2025",700,7812880,9.0,8.7
"Total","Washington","53",,,12789,61807214,20.7,20.1
,"West Virginia","54","2018","2018",739,1805832,40.9,44.4
,"West Virginia","54","2019","2019",704,1792147,39.3,43.2
,"West Virginia","54","2020","2020",1179,1784787,66.1,72.9
